pos_bigram_from,pos_bigram_to,added_count,removed_count,net_change
NNPS,.,2,0,2
JJR,JJ,6,4,2
NNP,VBN,4,2,2
",",VBG,24,22,2
JJ,RB,9,7,2
",",VB,4,2,2
RB,CC,4,2,2
VB,RBR,2,0,2
VB,RP,3,1,2
IN,WRB,6,4,2
IN,VBZ,4,2,2
RB,NN,21,19,2
JJR,CC,2,0,2
PRP,TO,3,1,2
WRB,VB,2,0,2
VBD,CC,3,1,2
VBD,NNP,8,6,2
NN,JJ,12,10,2
NNPS,IN,3,1,2
JJ,VB,2,0,2
RB,VBG,12,10,2
VBP,NNP,2,0,2
VBP,PRP$,4,2,2
VBP,RP,2,0,2
CC,MD,2,0,2
CC,NNPS,2,0,2
CD,VBD,2,0,2
NNS,DT,11,9,2
NN,NNPS,2,0,2
VBZ,PRP$,6,4,2
DT,IN,8,6,2
NN,CD,2,0,2
NNPS,RB,2,0,2
VBZ,JJR,4,2,2
VBN,WP,1,0,1
NN,JJS,1,0,1
VBN,WRB,1,0,1
VB,VBD,1,0,1
CC,RBR,1,0,1
RBR,VBG,1,0,1
IN,VBN,7,6,1
PRP,VB,1,0,1
.,NN,1,0,1
NNS,RP,3,2,1
WP,NNP,1,0,1
NNS,RBR,2,1,1
CC,TO,2,1,1
TO,WP,1,0,1
RBR,RB,4,3,1
PRP,VBG,1,0,1
VBP,WRB,1,0,1
VBZ,NNP,1,0,1
JJ,PRP$,1,0,1
TO,RBR,1,0,1
IN,VBD,3,2,1
RB,MD,2,1,1
CC,VB,5,4,1
RP,WP,1,0,1
NNPS,CC,1,0,1
DT,TO,1,0,1
NNPS,VBD,1,0,1
MD,DT,1,0,1
PRP,IN,11,10,1
PRP,CC,1,0,1
RP,RB,1,0,1
VBD,VBZ,1,0,1
MD,TO,1,0,1
CD,NNP,1,0,1
VBN,VBP,1,0,1
VBZ,VB,3,2,1
VBN,NNP,3,2,1
IN,JJR,3,2,1
",",PRP$,1,0,1
IN,MD,1,0,1
VBN,RBR,1,0,1
VBN,RP,1,0,1
VBN,VBD,2,1,1
VBD,MD,1,0,1
JJR,IN,6,5,1
DT,NNPS,1,0,1
VBG,JJR,1,0,1
JJ,WRB,2,2,0
RP,NN,1,1,0
JJ,VBG,7,7,0
JJ,VBD,2,2,0
RB,VBP,18,18,0
VBG,.,3,3,0
VBD,PRP$,2,2,0
VBZ,VBP,2,2,0
VBG,TO,9,9,0
NNS,NNS,12,12,0
NNPS,",",2,2,0
NNS,PRP,9,9,0
VBG,DT,29,29,0
NNS,PRP$,2,2,0
VBD,WP,1,1,0
IN,CC,3,3,0
IN,CD,5,5,0
PRP,NN,2,2,0
IN,JJS,1,1,0
NNP,PRP,1,1,0
VBZ,",",1,1,0
NNP,MD,3,3,0
VB,NNP,2,2,0
NNP,JJR,2,2,0
JJ,MD,1,1,0
WRB,VBN,2,2,0
),CC,0,1,-1
(,NNPS,0,1,-1
(,VBN,0,1,-1
NNS,VB,4,5,-1
NN,JJR,1,2,-1
WP$,VBN,0,1,-1
PDT,DT,0,1,-1
NNPS,VBG,0,1,-1
NN,RP,1,2,-1
",",MD,0,1,-1
WRB,VBD,0,1,-1
NNP,PRP$,0,1,-1
WRB,RB,1,2,-1
RB,JJR,0,1,-1
WRB,NNP,1,2,-1
:,VBN,0,1,-1
IN,VBP,0,1,-1
VBD,PRP,4,5,-1
JJ,NNPS,0,1,-1
DT,RBR,0,1,-1
WP,NNS,1,2,-1
CD,NNS,2,3,-1
CD,VBZ,0,1,-1
JJ,DT,0,1,-1
DT,",",0,1,-1
",",VBP,0,1,-1
DT,CC,0,1,-1
WP,JJ,0,1,-1
IN,PDT,0,1,-1
RP,DT,1,2,-1
:,DT,0,1,-1
VBD,VBD,0,1,-1
",",WP$,0,1,-1
IN,",",2,3,-1
VBG,PRP$,0,1,-1
DT,VBN,7,8,-1
VBN,JJR,0,1,-1
VBG,WP,1,2,-1
WDT,VB,0,1,-1
MD,NN,1,2,-1
TO,NNS,1,2,-1
JJR,DT,0,1,-1
CC,WDT,0,1,-1
NN,(,0,1,-1
VBN,PRP,0,1,-1
JJS,JJ,0,1,-1
VBN,VBZ,1,2,-1
TO,RB,1,2,-1
VBP,MD,0,1,-1
LS,",",0,1,-1
VBZ,.,3,5,-2
VBP,VBZ,0,2,-2
VBP,VBG,4,6,-2
VBZ,NNS,7,9,-2
NNS,WRB,3,5,-2
VBG,RP,4,6,-2
PRP,JJ,4,6,-2
VBP,JJR,2,4,-2
PRP,",",4,6,-2
WRB,VBP,0,2,-2
VBG,VBG,0,2,-2
RB,WP,0,2,-2
WDT,PRP,0,2,-2
RB,:,0,2,-2
WP,TO,0,2,-2
WP$,JJ,0,2,-2
RP,JJ,0,2,-2
WP$,NNS,0,2,-2
RB,TO,6,8,-2
RP,NNP,0,2,-2
RB,PRP$,0,2,-2
RP,TO,0,2,-2
TO,JJR,0,2,-2
RB,EX,0,2,-2
PRP$,JJS,0,2,-2
VBG,CC,3,5,-2
WRB,",",0,2,-2
TO,WDT,0,2,-2
TO,WRB,0,2,-2
VB,VBZ,2,4,-2
WP,JJS,0,2,-2
VB,WP,1,3,-2
WP,",",0,2,-2
PRP,RBR,0,2,-2
VBD,VB,2,4,-2
PRP,MD,15,17,-2
TO,VBN,0,2,-2
(,IN,0,2,-2
WRB,VBZ,0,2,-2
EX,VBP,0,2,-2
CC,PRP$,1,3,-2
MD,JJ,0,2,-2
.,IN,0,2,-2
CC,JJS,0,2,-2
IN,VB,0,2,-2
IN,WP$,0,2,-2
CC,EX,0,2,-2
CC,CD,0,2,-2
CC,",",0,2,-2
:,NNP,0,2,-2
JJ,JJR,0,2,-2
JJ,JJS,0,2,-2
:,WP,0,2,-2
JJ,WDT,0,2,-2
:,VBZ,0,2,-2
JJR,RB,0,2,-2
JJS,.,0,2,-2
IN,EX,0,2,-2
:,VBG,0,2,-2
NNP,WRB,0,2,-2
NNP,NNPS,0,2,-2
CC,WP,3,5,-2
CD,WDT,0,2,-2
DT,WRB,0,2,-2
CD,.,0,2,-2
CD,CC,0,2,-2
DT,DT,2,4,-2
DT,VBP,0,2,-2
VB,NNS,6,9,-3
VBG,VBD,0,3,-3
VB,JJR,3,6,-3
JJ,CD,0,3,-3
VBZ,CD,2,5,-3
VBP,PRP,3,6,-3
JJ,PRP,0,3,-3
DT,CD,1,4,-3
),",",0,3,-3
RP,.,5,8,-3
NNS,VBZ,6,9,-3
IN,:,0,3,-3
RB,CD,0,3,-3
WDT,DT,0,3,-3
VB,WRB,5,8,-3
VBD,VBG,5,8,-3
VBD,RBR,0,3,-3
WP,MD,0,3,-3
VBP,CD,0,3,-3
VBD,JJR,1,4,-3
NNP,VB,0,3,-3
WDT,RB,0,3,-3
NNS,(,0,3,-3
VBD,JJS,0,3,-3
",",WP,0,3,-3
VBN,VBN,2,6,-4
JJS,IN,0,4,-4
VBG,WRB,2,6,-4
JJR,",",0,4,-4
:,WRB,0,4,-4
VBP,",",4,8,-4
DT,JJR,7,11,-4
VB,:,0,4,-4
CC,NNP,4,8,-4
VBP,VBP,0,4,-4
DT,VBG,6,10,-4
VBN,RB,13,17,-4
TO,PRP$,0,4,-4
NN,WP,1,5,-4
NN,),0,4,-4
NN,RBR,1,5,-4
RB,PRP,0,4,-4
RB,NNP,2,6,-4
WDT,NN,0,5,-5
DT,MD,0,5,-5
CC,WRB,0,5,-5
VBZ,VBN,10,15,-5
RB,VBZ,26,31,-5
WP,VBZ,4,9,-5
NN,VBG,2,7,-5
RBR,IN,1,6,-5
VBP,RBR,0,5,-5
TO,NNP,1,6,-5
VBD,WRB,0,5,-5
VBD,RP,1,6,-5
",",RBR,2,7,-5
VBN,CC,2,7,-5
WDT,NNS,1,7,-6
CC,VBN,5,11,-6
VBD,.,4,10,-6
",",WRB,1,7,-6
NN,VBP,9,15,-6
NNP,RB,5,11,-6
DT,VBD,2,8,-6
WP,PRP,3,9,-6
IN,IN,10,16,-6
NNP,CC,8,14,-6
VBN,:,0,6,-6
VBZ,WP,0,6,-6
VBZ,IN,34,40,-6
CD,",",1,7,-6
NNS,MD,12,18,-6
TO,PRP,0,6,-6
",",JJR,2,8,-6
:,IN,0,6,-6
JJ,:,1,8,-7
VBZ,PRP,11,18,-7
JJR,NNS,5,12,-7
JJS,NN,1,8,-7
WDT,JJ,0,7,-7
WP,NN,0,7,-7
VB,IN,26,33,-7
CC,JJR,2,9,-7
NN,CC,80,88,-8
:,NNS,0,8,-8
CC,VBG,16,24,-8
CC,VBP,0,8,-8
JJR,NN,6,14,-8
VBZ,NN,21,29,-8
",",NNP,4,12,-8
RBR,.,0,8,-8
DT,WP,2,10,-8
DT,RB,3,12,-9
RB,WRB,2,11,-9
:,JJ,0,9,-9
WRB,NN,8,17,-9
VBP,JJ,23,32,-9
NN,PRP,8,17,-9
TO,JJ,11,20,-9
VB,VBN,12,21,-9
WP$,NN,0,9,-9
PRP,DT,0,10,-10
CC,VBZ,8,18,-10
JJS,NNS,3,13,-10
VBN,TO,20,30,-10
VBP,CC,1,11,-10
MD,VB,37,47,-10
RB,RBR,2,12,-10
",",WDT,0,10,-10
IN,WP,2,12,-10
VB,RB,7,17,-10
VBD,NNS,16,26,-10
PRP$,NNS,8,19,-11
:,NN,1,12,-11
WRB,TO,0,11,-11
NNP,IN,2,13,-11
NNS,WP$,0,11,-11
VBZ,TO,5,16,-11
RBR,JJ,7,18,-11
NN,DT,4,15,-11
NNS,:,0,11,-11
JJ,CC,21,32,-11
NN,VBN,19,30,-11
VB,PRP$,3,14,-11
VB,TO,2,13,-11
WP,VBP,1,12,-11
VBP,NN,6,17,-11
CC,RB,11,23,-12
VBN,.,15,27,-12
VBN,NNS,9,21,-12
WP,VBD,3,15,-12
VBP,NNS,4,16,-12
NNS,TO,18,30,-12
DT,JJS,0,12,-12
JJ,.,30,42,-12
NN,WRB,0,12,-12
CD,IN,0,13,-13
NNS,WP,0,13,-13
TO,NN,3,16,-13
VB,",",2,15,-13
EX,VBZ,0,13,-13
MD,RB,5,19,-14
VBD,NN,25,39,-14
IN,NNP,5,19,-14
CC,NN,72,86,-14
",",RB,27,41,-14
",",NNS,16,30,-14
WRB,DT,2,16,-14
WRB,JJ,2,16,-14
DT,RBS,0,15,-15
JJ,TO,4,19,-15
VBP,IN,18,33,-15
RBS,JJ,0,15,-15
VBP,VBN,4,20,-16
TO,DT,4,20,-16
VBZ,WRB,1,17,-16
CC,PRP,1,17,-16
WDT,MD,0,16,-16
NNP,",",2,18,-16
VBD,",",2,18,-16
RB,VBN,22,39,-17
RB,VBD,11,28,-17
WDT,VBP,1,18,-17
PRP,RB,7,24,-17
VBD,VBN,26,43,-17
",",VBZ,0,18,-18
IN,PRP,20,38,-18
WRB,PRP,2,20,-18
",",VBN,0,18,-18
PRP$,NN,19,38,-19
VB,PRP,6,25,-19
WRB,NNS,0,19,-19
",",VBD,4,23,-19
CC,VBD,6,25,-19
DT,VBZ,0,20,-20
DT,NNP,3,23,-20
IN,WDT,0,20,-20
VBD,DT,21,42,-21
VBP,TO,4,25,-21
VBZ,JJ,27,48,-21
VBP,DT,13,34,-21
JJ,",",26,47,-21
CC,NNS,14,36,-22
PRP,.,15,37,-22
NNS,CC,24,47,-23
VB,NN,30,53,-23
NNP,VBD,12,36,-24
VB,.,7,31,-24
",",IN,4,28,-24
WDT,VBZ,4,29,-25
VBD,TO,2,27,-25
RB,JJ,35,60,-25
VBN,",",4,29,-25
NNP,NNP,8,34,-26
RB,IN,41,68,-27
RB,",",19,46,-27
NN,VBD,45,72,-27
IN,PRP$,10,39,-29
WDT,VBD,0,31,-31
",",PRP,8,40,-32
:,PRP,0,32,-32
RB,DT,11,44,-33
VBD,JJ,17,51,-34
CC,IN,2,37,-35
VBN,IN,50,85,-35
CC,JJ,55,91,-36
VBD,RB,16,53,-37
NNS,WDT,2,40,-38
RB,VB,15,55,-40
NN,WDT,4,45,-41
CC,DT,4,45,-41
VBZ,DT,38,81,-43
PRP,VBP,15,59,-44
",",JJ,17,62,-45
NN,TO,18,63,-45
NN,VBZ,61,107,-46
RB,RB,12,58,-46
IN,JJ,92,138,-46
PRP,VBZ,15,62,-47
VBP,RB,9,56,-47
NN,:,0,47,-47
VB,DT,8,56,-48
PRP,VBD,5,55,-50
NNS,IN,76,126,-50
VBZ,RB,22,77,-55
JJ,NNS,107,162,-55
",",DT,12,69,-57
JJ,NN,130,188,-58
NNS,VBP,36,95,-59
IN,NN,123,184,-61
IN,NNS,39,102,-63
DT,NNS,19,82,-63
",",NN,34,101,-67
DT,JJ,74,153,-79
NNS,",",24,120,-96
TO,VB,40,142,-102
IN,DT,71,182,-111
NN,IN,101,215,-114
DT,NN,74,209,-135
",",CC,11,164,-153
NN,",",33,201,-168
